name,m_source_file,m_ep_file,m_lep_file,m_ep_time,m_lep_time,m_div_mat_time,m_globals_time,m_locals_time,m_total_time,m_np_eig_time,g_avg_node_degree,g_order,g_size,g_directed,g_density,g_connected_components,ep_percent_nt_vertices,ep_percent_nt_elements,ep_num_elements,ep_size_max,ep_size_min,ep_size_avg,ep_size_variance,ep_size_std_dev,ep_size_median,ep_size_mode,ep_size_range,ep_size_iqr,ep_size_skewness,ep_size_kurtosis,lep_percent_vnt_leps,lep_percent_ent_leps,lep_percent_ent_vertices,lep_num_leps,lep_size_max,lep_size_min,lep_size_avg,lep_size_variance,lep_size_std_dev,lep_size_median,lep_size_mode,lep_size_range,lep_size_iqr,lep_size_skewness,lep_size_kurtosis
musae_RU_edges.clean,/home/pseely/research/datasets/undirected/social/twitch/RU/musae_RU_edges.clean.csv,ep_data.pkl,lep_data.pkl,0.12363862991333,0.021390438079834,0.0510344505310059,98.8701822757721,0.00924873352050781,99.0613605976105,107.871062040329,8.50718358038769,4385,37304,False,0.00388101440711117,1,0.0501710376282782,0.0165289256198347,4235,17,1,1.03541912632822,0.185758472503133,0.43099706785909,1,1,16,0,23.4478384424004,704.158183487792,0.0165289256198347,0,0,4235,1,1,1,0,0,1,1,0,0,nan,nan
facebook_combined.clean,/home/pseely/research/datasets/undirected/social/facebook_combined.clean.txt,ep_data.pkl,lep_data.pkl,0.213117361068726,0.0392563343048096,0.084815263748169,89.972199678421,0.0114908218383789,90.2648515701294,102.227477312088,21.8455063134439,4039,88234,False,0.0108199635034393,1,0.0628868531814806,0.0206985769728331,3865,14,1,1.04501940491591,0.211686060425519,0.460093534431336,1,1,13,0,17.6529267049097,390.773500976981,0.0206985769728331,0,0,3865,1,1,1,0,0,1,1,0,0,nan,nan
bn-mouse-kasthuri_graph_v4.clean,/home/pseely/research/datasets/undirected/brain/bn-mouse-kasthuri_graph_v4/bn-mouse-kasthuri_graph_v4.clean.txt,ep_data.pkl,lep_data.pkl,0.00589680671691895,0.00248169898986816,0.00148367881774902,0.334882974624634,0.01222825050354,0.390416622161865,1.11039328575134,1.51506316812439,1029,1559,False,0.00294759371230427,20,0.48396501457726,0.167711598746082,638,32,1,1.6128526645768,5.8485495425556,2.41837746072767,1,1,31,0,7.82278321012415,77.4060101103228,0.163779527559055,0.0047244094488189,0.0155490767735666,635,2,1,1.00472440944882,0.00470208940417881,0.0685717828569362,1,1,1,0,14.445463422892,206.67141350211
bn-mouse_visual-cortex_1.clean,/home/pseely/research/datasets/undirected/brain/bn-mouse_visual-cortex_1/bn-mouse_visual-cortex_1.clean.txt,ep_data.pkl,lep_data.pkl,0.000201225280761719,7.55786895751953E-05,4.1961669921875E-05,0.000131130218505859,0.000428915023803711,0.000939846038818359,0.000257968902587891,1.51724137931034,29,44,False,0.108374384236453,1,0.241379310344828,0.12,25,3,1,1.16,0.2144,0.463033476111609,1,1,2,0,2.95133556142647,7.85330808643351,0.12,0,0,25,1,1,1,0,0,1,1,0,0,nan,nan
bn-macaque-rhesus_brain_1.clean,/home/pseely/research/datasets/undirected/brain/bn-macaque-rhesus_brain_1/bn-macaque-rhesus_brain_1.clean.txt,ep_data.pkl,lep_data.pkl,0.00455045700073242,0.00130152702331543,0.0014805793762207,0.0241949558258057,0.000684738159179688,0.0317592620849609,0.0253515243530273,12.6198347107438,242,3054,False,0.104728918761359,1,0.0495867768595041,0.0170940170940171,234,4,1,1.03418803418803,0.0843012637884432,0.290346799170308,1,1,3,0,9.42246783794056,91.0974997672177,0.0170940170940171,0,0,234,1,1,1,0,0,1,1,0,0,nan,nan
bn-macaque-rhesus_brain_2.clean,/home/pseely/research/datasets/undirected/brain/bn-macaque-rhesus_brain_2/bn-macaque-rhesus_brain_2.clean.txt,ep_data.pkl,lep_data.pkl,0.000743627548217773,0.000262737274169922,0.000237941741943359,0.000426054000854492,0.00154614448547363,0.00316524505615234,0.00178408622741699,6.3956043956044,91,582,False,0.142124542124542,1,0.494505494505495,0.220338983050847,59,15,1,1.54237288135593,3.57023843723068,1.88950745889787,1,1,14,0,6.17527670013472,40.6923797390964,0.220338983050847,0,0,59,1,1,1,0,0,1,1,0,0,nan,nan
bn-mouse_visual-cortex_2.clean,/home/pseely/research/datasets/undirected/brain/bn-mouse_visual-cortex_2/bn-mouse_visual-cortex_2.clean.txt,ep_data.pkl,lep_data.pkl,0.00061345100402832,0.000315666198730469,8.94069671630859E-05,0.000151395797729492,0.00213122367858887,0.00315499305725098,0.0121302604675293,1.10880829015544,193,214,False,0.0115500863557858,1,0.911917098445596,0.514285714285714,35,23,1,5.51428571428571,55.7926530612245,7.46944797566892,2,1,22,4,1.47597470262854,0.486095598207207,0.514285714285714,0,0,35,1,1,1,0,0,1,1,0,0,nan,nan
mammalia-voles-rob-trapping.clean,/home/pseely/research/datasets/undirected/animal_social/mammalia-voles-rob-trapping/mammalia-voles-rob-trapping.clean.csv,ep_data.pkl,lep_data.pkl,0.012479305267334,0.00374293327331543,0.00387001037597656,3.56667494773865,0.00980520248413086,3.59724402427673,4.31815195083618,2.65878378378378,1480,3935,False,0.00359538037022824,21,0.148648648648649,0.0611028315946349,1342,24,1,1.10283159463487,0.598963666125475,0.773927429495476,1,1,23,0,21.8498438672743,598.678984653137,0.0589992531740105,0.00224047796863331,0.00945945945945946,1339,2,1,1.00224047796863,0.00223545822710538,0.0472806326851215,1,1,1,0,21.0555355866887,441.335578842315
aves-weaver-social.clean,/home/pseely/research/datasets/undirected/animal_social/aves-weaver-social/aves-weaver-social.clean.csv,ep_data.pkl,lep_data.pkl,0.00349736213684082,0.00154471397399902,0.000795364379882813,0.0706970691680908,0.00773310661315918,0.0836184024810791,0.0981979370117188,3,445,1335,False,0.0135135135135135,22,0.384269662921348,0.201166180758017,343,6,1,1.29737609329446,0.535474164676283,0.731761002429265,1,1,5,0,3.57977580376328,16.2534659083888,0.191740412979351,0.00884955752212389,0.049438202247191,339,3,1,1.0117994100295,0.0175598889672036,0.132513731240214,1,1,2,0,12.4091991945862,164.73102483987
mammalia-voles-bhp-trapping.clean,/home/pseely/research/datasets/undirected/animal_social/mammalia-voles-bhp-trapping/mammalia-voles-bhp-trapping.clean.csv,ep_data.pkl,lep_data.pkl,0.0148792266845703,0.00463366508483887,0.00456380844116211,4.98304533958435,0.0123991966247559,5.01896286010742,6.84666061401367,2.74199288256228,1686,4623,False,0.00325459095853089,31,0.168446026097272,0.0684385382059801,1505,46,1,1.1202657807309,1.51443979647024,1.23062577434013,1,1,45,0,32.5611049073112,1173.89873492467,0.0678191489361702,0.000664893617021277,0.00533807829181495,1504,2,1,1.00066489361702,0.000664451533499321,0.0257769574135374,1,1,1,0,38.7427498422091,1499.000665336
mammalia-voles-kcs-trapping.clean,/home/pseely/research/datasets/undirected/animal_social/mammalia-voles-kcs-trapping/mammalia-voles-kcs-trapping.clean.csv,ep_data.pkl,lep_data.pkl,0.0110669136047363,0.00303483009338379,0.00340175628662109,2.06218957901001,0.00868129730224609,2.08858251571655,2.60587739944458,2.94909688013136,1218,3592,False,0.00484650267893404,15,0.141215106732348,0.0635631154879141,1117,26,1,1.09042076991943,0.63014100468947,0.793814212955065,1,1,25,0,27.8219578841257,865.313149977034,0.0635631154879141,0,0,1117,1,1,1,0,0,1,1,0,0,nan,nan
